Timestamp,Source IP,Destination IP,Event Type,Severity,Description
2025-03-21T10:45:00Z,198.51.100.23,192.168.1.20,DDoS Attack,Critical,High volume traffic detected from single source.
2025-03-21T10:46:00Z,10.0.0.15,172.16.0.1,Phishing Attempt,High,Email with suspicious link detected.
2025-03-21T10:47:00Z,192.0.2.33,192.168.1.30,SQL Injection,Critical,Attempted SQL injection in web form detected.
2025-03-21T10:48:00Z,192.168.1.11,203.0.113.10,Unauthorized Access,High,Login attempt from blacklisted IP.
2025-03-21T10:49:00Z,172.16.0.5,10.0.0.2,Malware Detected,Critical,Ransomware signature matched.
2025-03-21T10:50:00Z,203.0.113.7,192.168.1.25,Port Scanning,Medium,Scan across TCP ports detected.
2025-03-21T10:51:00Z,10.0.0.4,192.0.2.40,Suspicious Traffic,Medium,Anomalous traffic pattern identified.
2025-03-21T10:52:00Z,198.51.100.45,192.168.1.13,Brute Force Attack,High,Multiple login attempts over short time.
2025-03-21T10:53:00Z,192.168.1.12,8.8.4.4,Data Exfiltration,Critical,Large outbound data volume detected.
2025-03-21T10:54:00Z,192.0.2.60,192.168.1.100,ARP Spoofing,High,MAC address conflict detected.
2025-03-21T10:55:00Z,10.1.1.9,172.16.0.4,Malware Detected,Critical,Trojan identified in temp directory.
2025-03-21T10:56:00Z,203.0.113.11,10.0.0.10,Port Scanning,Medium,Repeated scans on common service ports.
2025-03-21T10:57:00Z,192.168.1.18,10.0.0.3,Unauthorized Access,High,Access attempt outside allowed hours.
2025-03-21T10:58:00Z,198.51.100.55,192.168.1.21,DDoS Attack,Critical,SYN flood detected.
2025-03-21T10:59:00Z,192.0.2.70,10.0.0.12,Phishing Attempt,Medium,Link to malicious site in email.
2025-03-21T11:00:00Z,10.0.0.8,10.0.0.1,Brute Force Attack,High,Repeated SSH login attempts.
2025-03-21T11:01:00Z,203.0.113.20,192.168.1.45,Malware Detected,Critical,File infected with keylogger.
2025-03-21T11:02:00Z,192.168.1.30,8.8.8.8,Suspicious Traffic,Medium,Unusual DNS queries observed.
2025-03-21T11:03:00Z,198.51.100.78,192.168.1.50,SQL Injection,High,Parameter tampering in API request.
2025-03-21T11:04:00Z,192.0.2.90,10.1.1.4,Port Scanning,Medium,Scan detected targeting database ports.
2025-03-21T11:05:00Z,10.0.0.20,192.168.1.22,Unauthorized Access,High,Unauthorized admin login attempt.
2025-03-21T11:06:00Z,203.0.113.25,10.0.0.15,Data Exfiltration,Critical,Confidential files transmitted externally.
2025-03-21T11:07:00Z,198.51.100.91,192.168.1.55,DDoS Attack,Critical,UDP flood attack detected.
2025-03-21T11:08:00Z,192.168.1.40,10.0.0.6,Phishing Attempt,High,Social engineering email with attachment.
2025-03-21T11:09:00Z,192.0.2.100,192.168.1.35,Brute Force Attack,High,Password spraying detected.
2025-03-21T11:10:00Z,10.1.1.10,10.0.0.30,Malware Detected,Critical,Worm infection identified.
2025-03-21T11:11:00Z,203.0.113.30,192.168.1.70,Port Scanning,Medium,Connection attempts on uncommon ports.
2025-03-21T11:12:00Z,192.168.1.14,8.8.4.4,Unauthorized Access,High,Suspicious SSH connection detected.
2025-03-21T11:13:00Z,198.51.100.100,10.0.0.18,DDoS Attack,Critical,Botnet traffic pattern observed.
2025-03-21T11:14:00Z,192.0.2.110,10.0.0.22,Suspicious Traffic,Medium,Out-of-profile bandwidth usage.
2025-03-21T11:15:00Z,10.0.0.25,192.168.1.10,Phishing Attempt,High,Fake login form served to user.
2025-03-21T11:16:00Z,203.0.113.40,192.168.1.65,SQL Injection,Critical,Tampering attempt in login page.
2025-03-21T11:17:00Z,192.168.1.28,8.8.8.8,Malware Detected,Critical,File dropped by known malware actor.
2025-03-21T11:18:00Z,198.51.100.120,10.1.1.11,Port Scanning,Medium,Nmap scan signature detected.
2025-03-21T11:19:00Z,192.0.2.120,192.168.1.75,Unauthorized Access,High,Unauthorized access to file share.
2025-03-21T11:20:00Z,10.0.0.30,192.168.1.80,Brute Force Attack,High,Login attempts from dictionary file.
2025-03-21T11:21:00Z,203.0.113.50,10.0.0.28,Phishing Attempt,Medium,Spoofed domain link found in email.
2025-03-21T11:22:00Z,192.168.1.50,10.0.0.5,Suspicious Traffic,Medium,Peer-to-peer traffic detected.
2025-03-21T11:23:00Z,198.51.100.135,192.168.1.85,Malware Detected,Critical,Rootkit behavior observed.
2025-03-21T11:24:00Z,192.0.2.130,10.1.1.15,SQL Injection,High,Injection payload detected in request.
2025-03-21T11:25:00Z,10.0.0.35,192.168.1.90,DDoS Attack,Critical,ICMP flood attack identified.
2025-03-21T11:26:00Z,203.0.113.60,192.168.1.95,Unauthorized Access,High,Policy violation: access to restricted directory.
2025-03-21T11:27:00Z,192.168.1.60,10.0.0.7,Port Scanning,Medium,High frequency scans from internal IP.
2025-03-21T11:28:00Z,198.51.100.140,192.168.1.99,Brute Force Attack,High,Credential stuffing attempt.
2025-03-21T11:29:00Z,192.0.2.140,10.0.0.9,Data Exfiltration,Critical,Sensitive DB dump transmitted.
2025-03-21T11:30:00Z,10.1.1.20,192.168.1.110,Malware Detected,Critical,Known malware hash detected.
2025-03-21T11:31:00Z,203.0.113.70,192.168.1.115,Suspicious Traffic,Medium,Irregular access pattern logged.
2025-03-21T11:32:00Z,192.168.1.70,10.0.0.40,Phishing Attempt,High,Credential theft campaign detected.
2025-03-21T11:33:00Z,198.51.100.150,10.1.1.25,SQL Injection,High,Input validation bypass.
2025-03-21T11:34:00Z,192.0.2.150,192.168.1.120,Brute Force Attack,High,Forced login attempts to admin panel.
